17/2/2013	8700	3326	6905	1836	5136	4856	5493	6986	5871	613	1949	754	4487	á	á	á	3615	6429	6942	9676	937	3587	6681	5521	4556	6043
16/2/2013	4002	546	9317	5061	1068	2466	6681	4960	513	1822	5023	5569	7950	á	á	á	8983	8924	6722	8593	43	8545	5617	1151	5437	1347
13/2/2013	94	9423	7838	3663	5785	2295	297	491	7608	1113	7001	1782	3514	á	á	á	9042	6843	1124	4937	2940	5687	7130	1536	7901	5997
12/2/2013	9323	1566	5997	8924	2036	7855	3669	8879	8091	2251	8848	3019	7374	á	á	á	5002	899	7369	4447	9895	105	8056	2056	1019	9322
10/2/2013	4606	9655	7682	6957	8708	7968	3255	1946	7275	4069	5795	5553	7934	á	á	á	2123	6215	7641	307	8866	5981	7348	5730	9970	247
9/2/2013	1306	215	779	7287	7498	7122	1698	2498	589	931	8748	2145	6856	á	á	á	9327	4907	5333	8622	6402	2670	8444	8523	7704	207
6/2/2013	8174	7602	4931	1333	5775	6582	2862	4451	6931	5909	2815	2509	3039	á	á	á	5582	2684	6921	6407	7850	1355	5192	1749	3402	6786
5/2/2013	3761	4581	6152	1602	5071	4902	620	3695	4101	7995	3664	9680	968	á	á	á	8596	1870	1166	5528	7369	3766	8834	3066	3750	9777
3/2/2013	5107	3431	491	9285	8304	3297	1605	6279	6357	8542	8412	3896	4258	á	á	á	8096	6709	4085	259	8181	6010	37	4243	3087	7887
2/2/2013	5374	6596	3897	577	2929	8966	4984	6903	654	6675	3903	195	5309	á	á	á	9345	4447	9184	3264	8225	4057	6606	5915	592	9069
30/1/2013	913	3497	1222	5115	2409	1123	7473	8374	5552	3099	7273	4015	6819	á	á	á	6172	1249	8379	7004	4573	4780	5320	9313	2047	8216
27/1/2013	731	7880	6942	2429	6549	1868	9579	8778	2638	5007	3535	8821	2455	á	á	á	2842	560	6990	4142	8288	5454	6925	2102	7818	4346
26/1/2013	422	2078	5378	3998	7030	4860	105	5972	2512	4739	6801	6728	3605	á	á	á	7368	9013	2798	2151	5396	7846	8667	6950	328	8729
23/1/2013	120	5667	8317	9433	2700	1221	2639	3547	1588	2410	6729	3613	5538	á	á	á	7357	9944	7311	8287	2910	1290	8236	8693	8452	7342
22/1/2013	5019	9305	9562	1118	4856	8179	2194	1017	9064	4094	5286	7596	9974	á	á	á	5773	8742	8074	3046	411	8299	614	8492	8320	1914
20/1/2013	8880	3742	8358	5967	3315	3729	7057	8909	6824	215	2275	3788	2146	á	á	á	3163	2650	9760	5444	2503	7118	4242	3905	4055	3804
19/1/2013	9378	7883	6429	876	7327	7138	2120	1396	641	9761	5657	658	7831	á	á	á	7326	2709	8640	7819	8142	505	3453	9665	7553	9168
16/1/2013	7434	751	5879	1210	3071	3664	4833	9570	9356	8877	8363	448	7858	á	á	á	1005	4263	5344	7606	5678	4524	1099	8228	9314	1117
13/1/2013	1216	2800	5016	3103	4286	6883	6811	5388	4116	2491	79	3085	6782	á	á	á	7315	8166	5648	7113	7532	8618	1465	4580	2438	4477
12/1/2013	632	7598	3514	7919	7927	2539	8393	5112	8461	4559	3555	8343	3472	á	á	á	8603	5851	658	7224	6785	279	2246	3616	343	898
9/1/2013	7466	3704	2605	3108	5432	4266	203	3837	7110	9907	8981	7038	9077	á	á	á	6666	3215	6271	9957	9501	7439	8321	669	1820	4123
8/1/2013	5107	1922	1977	7070	9173	5608	1440	2165	2626	6837	1870	7035	3154	á	á	á	6379	3271	5155	113	1756	8161	8151	4455	7250	3235
6/1/2013	2586	1508	8889	2076	1893	4033	3961	6114	6008	4136	2115	5148	4489	á	á	á	686	2342	4714	7257	786	8698	838	1074	5339	6854
5/1/2013	6257	3389	1260	646	3003	3393	2141	7016	9288	4253	3717	7749	6653	á	á	á	8021	6204	1735	8261	3312	7666	7131	3423	9774	7519
2/1/2013	4572	9046	8419	3374	1202	6919	3303	9798	1955	9415	2137	7134	4764	á	á	á	6706	9163	2979	2247	4818	5752	3029	3133	1669	4438
30/12/2012	1095	1911	8611	9820	1422	7180	369	3380	6973	6370	8717	4042	1051	á	á	á	7039	2022	975	120	4625	8377	9283	9255	4359	3962
29/12/2012	1937	5095	1224	4383	6430	3220	5428	4567	4119	2203	1950	1769	6044	á	á	á	3755	6519	633	1034	4017	3804	2952	3960	6633	227
26/12/2012	9932	9057	4825	525	2364	2275	423	3383	7422	9307	5296	2961	6402	á	á	á	375	4636	8852	715	7853	2248	588	9599	7518	8698
23/12/2012	3808	3232	8947	4922	1937	1463	2408	3532	3422	4507	6948	1179	5489	á	á	á	3689	8464	3638	6557	3203	1268	1353	7332	6190	4206
22/12/2012	4424	8351	8820	6933	8280	3756	7275	2354	2755	6753	7963	2365	7896	á	á	á	9833	5504	3231	1520	7214	3651	1658	6131	4520	803
19/12/2012	3795	9547	4745	5102	5837	612	4991	5355	1705	4716	4604	4996	9599	á	á	á	7081	8230	5602	1132	401	6639	8565	2570	4456	7244
18/12/2012	5501	1585	6448	8453	6053	1584	7276	426	1049	7882	8916	7067	8168	á	á	á	2026	3524	2650	5702	2689	8785	4676	3825	9763	8056
16/12/2012	5827	4299	6322	78	4667	8560	6910	7726	3124	766	5703	1514	7425	á	á	á	5905	5843	6774	1205	5853	4936	7680	1937	4506	403
15/12/2012	6628	5866	2220	143	6337	5814	5887	4706	6527	9363	2962	7247	6935	á	á	á	3684	850	3041	3735	7529	4213	4898	1368	5440	4645
12/12/2012	1252	8772	4912	5517	3625	7883	7121	5770	3699	7954	53	1772	8066	á	á	á	3491	3671	5127	5190	4289	3867	140	361	7314	9987
9/12/2012	5245	7827	2639	6012	8317	1576	2355	2246	50	6061	7934	9661	8865	á	á	á	6222	6460	3674	7580	2649	6164	9301	4187	4980	1509
8/12/2012	4202	1366	4128	3438	7865	3490	1698	6803	4151	6036	3882	5894	3190	á	á	á	1616	3857	6338	4555	7072	8196	9716	8723	9155	324
5/12/2012	1217	8070	732	2036	3214	6474	2433	6398	9455	8975	9781	3722	346	á	á	á	1527	6376	9760	5512	1166	1862	3656	8873	860	2024
4/12/2012	8672	2733	7293	9837	6579	1487	3055	6439	5776	4460	4472	7076	5091	á	á	á	4957	247	3288	8062	9578	4340	1850	1	584	5627
2/12/2012	6895	949	3476	1993	9791	3988	4077	9690	9599	1412	9941	4543	2397	á	á	á	3366	1094	5303	1504	2530	9855	5263	5854	2755	9814
